Firm,Account Name,Account Size,Profit Target,Max Drawdown,Drawdown Type (EOD or Intraday),Daily Loss Limit,Consistency Rule,Min Trading Days,Max Trading Days,Max Contracts,Payout Minimum,Min Days Between Payouts,Max Payout Per Request,Profit Split %,Funded Max Drawdown,Funded Drawdown Type,Funded Daily Loss Limit,Funded Consistency Rule,Fees,Notes
Tradeify,Select Evaluation,50000,2500,2000,EOD,Unknown,40%,3,Unknown,4,Unknown,5,Unknown,90,2000,EOD,Unknown,35% payout cycle,159,No activation fee; funded traders can choose daily or 5 winning day payout cadence
Tradeify,Select Evaluation,100000,6000,3000,EOD,Unknown,40%,3,Unknown,8,Unknown,5,Unknown,90,3000,EOD,Unknown,35% payout cycle,259,No activation fee; funded traders can choose daily or 5 winning day payout cadence
Tradeify,Select Evaluation,150000,9000,4500,EOD,Unknown,40%,3,Unknown,12,Unknown,5,Unknown,90,4500,EOD,Unknown,35% payout cycle,359,No activation fee; funded traders can choose daily or 5 winning day payout cadence
Tradeify,Growth Evaluation,50000,3000,2000,EOD,1250,none,1,Unknown,Unknown,Unknown,Unknown,Unknown,90,2000,EOD,Unknown,Unknown,139,Soft-breach daily loss limit in evaluation; no activation fee
Tradeify,Growth Evaluation,100000,6000,3500,EOD,2500,none,1,Unknown,Unknown,Unknown,Unknown,Unknown,90,3500,EOD,Unknown,Unknown,249,Soft-breach daily loss limit in evaluation; no activation fee
Tradeify,Growth Evaluation,150000,9000,5000,EOD,3750,none,1,Unknown,Unknown,Unknown,Unknown,Unknown,90,5000,EOD,Unknown,Unknown,359,Soft-breach daily loss limit in evaluation; no activation fee
FundedNext Futures,Rapid Challenge,25000,Unknown,1000,EOD,Unknown,none,Unknown,Unknown,2 minis / 10 micros,250,3,Unknown,Unknown,1000,EOD,Unknown,Unknown,Unknown,Rapid funded payouts every 3 days; funded contract limit 3 minis / 15 micros
FundedNext Futures,Rapid Challenge,50000,3000,2000,EOD,Unknown,none,Unknown,Unknown,3 minis / 15 micros,250,3,Unknown,Unknown,2000,EOD,Unknown,Unknown,Unknown,Rapid funded payouts every 3 days; funded contract limit 5 minis / 25 micros
FundedNext Futures,Rapid Challenge,100000,Unknown,4000,EOD,Unknown,none,Unknown,Unknown,5 minis / 25 micros,250,3,Unknown,Unknown,4000,EOD,Unknown,Unknown,Unknown,Rapid funded payouts every 3 days; funded contract limit 7 minis / 35 micros
FundedNext Futures,Legacy Challenge,25000,Unknown,1000,EOD,Unknown,Unknown,Unknown,Unknown,Unknown,250,5,Unknown,Unknown,1000,EOD,Unknown,Unknown,Unknown,Legacy funded payouts every 5 days with 5 benchmark days and 500 profit per cycle
FundedNext Futures,Legacy Challenge,50000,3000,2000,EOD,Unknown,Unknown,Unknown,Unknown,Unknown,250,5,Unknown,Unknown,2000,EOD,Unknown,Unknown,Unknown,Legacy funded payouts every 5 days with 5 benchmark days and 500 profit per cycle
FundedNext Futures,Legacy Challenge,100000,Unknown,4000,EOD,Unknown,Unknown,Unknown,Unknown,Unknown,250,5,Unknown,Unknown,4000,EOD,Unknown,Unknown,Unknown,Legacy funded payouts every 5 days with 5 benchmark days and 500 profit per cycle
FundedNext Futures,Bolt Challenge,50000,3000,2000,EOD,1000,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,EOD,Unknown,Unknown,99.99,Soft-breach daily loss limit resets daily; max loss limit capped at 50100
Topstep,Trading Combine,50000,3000,2000,EOD,1000,50% best day,Unknown,Unknown,Unknown,125,5,5000,90,2000,EOD,1000,40% for Express Funded payouts,49 + 149 activation,Trading Combine params; funded stage modeled as Express Funded Account
Topstep,Trading Combine,100000,6000,3000,EOD,2000,50% best day,Unknown,Unknown,Unknown,125,5,5000,90,3000,EOD,2000,40% for Express Funded payouts,99 + 149 activation,Trading Combine params; funded stage modeled as Express Funded Account
Topstep,Trading Combine,150000,9000,4500,EOD,3000,50% best day,Unknown,Unknown,Unknown,125,5,5000,90,4500,EOD,3000,40% for Express Funded payouts,149 + 149 activation,Trading Combine params; funded stage modeled as Express Funded Account
TradeDay,Intraday Evaluation,50000,3000,2000,Intraday,Unknown,30%,5,Unknown,5,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,87,No activation fee; funded accounts advertise day 1 payouts
TradeDay,Intraday Evaluation,100000,6000,3000,Intraday,Unknown,30%,5,Unknown,10,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,140,No activation fee; funded accounts advertise day 1 payouts
TradeDay,Intraday Evaluation,150000,9000,4000,Intraday,Unknown,30%,5,Unknown,15,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,210,No activation fee; funded accounts advertise day 1 payouts
TradeDay,EOD Evaluation,50000,3000,2000,EOD,Unknown,30%,5,Unknown,5,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,122,No activation fee; funded accounts advertise day 1 payouts
TradeDay,EOD Evaluation,100000,6000,3000,EOD,Unknown,30%,5,Unknown,10,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,192,No activation fee; funded accounts advertise day 1 payouts
TradeDay,EOD Evaluation,150000,9000,4000,EOD,Unknown,30%,5,Unknown,15,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,262,No activation fee; funded accounts advertise day 1 payouts
TradeDay,Static Evaluation,50000,1500,500,Intraday,Unknown,30%,5,Unknown,1,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,115,No activation fee; funded accounts advertise day 1 payouts
TradeDay,Static Evaluation,100000,2500,750,Intraday,Unknown,30%,5,Unknown,2,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,175,No activation fee; funded accounts advertise day 1 payouts
TradeDay,Static Evaluation,150000,3750,1000,Intraday,Unknown,30%,5,Unknown,3,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,245,No activation fee; funded accounts advertise day 1 payouts
Take Profit Trader,Evaluation,25000,1500,1500,EOD,none,50%,5,Unknown,3 minis / 30 micros,250,1,none,80,1500,EOD,none,none,150,No activation fee; day 1 payouts above buffer in PRO account; PRO+ uses 90/10
Take Profit Trader,Evaluation,50000,3000,2000,EOD,none,50%,5,Unknown,6 minis / 60 micros,250,1,none,80,2000,EOD,none,none,170,No activation fee; day 1 payouts above buffer in PRO account; PRO+ uses 90/10
Take Profit Trader,Evaluation,75000,4500,2500,EOD,none,50%,5,Unknown,9 minis / 90 micros,250,1,none,80,2500,EOD,none,none,245,No activation fee; day 1 payouts above buffer in PRO account; PRO+ uses 90/10
Take Profit Trader,Evaluation,100000,6000,3000,EOD,none,50%,5,Unknown,12 minis / 120 micros,250,1,none,80,3000,EOD,none,none,330,No activation fee; day 1 payouts above buffer in PRO account; PRO+ uses 90/10
Take Profit Trader,Evaluation,150000,9000,4500,EOD,none,50%,5,Unknown,15 minis / 150 micros,250,1,none,80,4500,EOD,none,none,360,No activation fee; day 1 payouts above buffer in PRO account; PRO+ uses 90/10
