horizon_label,bucket_key,bucket_label,pct_of_simulations
1 Week,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
1 Week,eval_fail_trailing_drawdown,Audition: max trailing drawdown,19.166666666666668
1 Week,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
1 Week,eval_expire_unpassed,Audition: window ended (no pass),6.0
1 Week,pass_no_funded_days,"Passed eval, no funded days left in horizon",4.0
1 Week,funded_breach_before_first_payout,Funded: breach before 1st payout,14.5
1 Week,funded_breach_after_payouts,Funded: breach after ≥1 payout,0.0
1 Week,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
1 Week,funded_survived_segment,Funded: survived funded segment (no trail hit),56.333333333333336
1 Week,empty_pool,Empty pool,0.0
1 Month,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
1 Month,eval_fail_trailing_drawdown,Audition: max trailing drawdown,16.666666666666668
1 Month,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
1 Month,eval_expire_unpassed,Audition: window ended (no pass),0.0
1 Month,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.0
1 Month,funded_breach_before_first_payout,Funded: breach before 1st payout,35.5
1 Month,funded_breach_after_payouts,Funded: breach after ≥1 payout,43.166666666666664
1 Month,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
1 Month,funded_survived_segment,Funded: survived funded segment (no trail hit),4.666666666666667
1 Month,empty_pool,Empty pool,0.0
1 Quarter,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
1 Quarter,eval_fail_trailing_drawdown,Audition: max trailing drawdown,16.833333333333332
1 Quarter,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
1 Quarter,eval_expire_unpassed,Audition: window ended (no pass),0.0
1 Quarter,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.0
1 Quarter,funded_breach_before_first_payout,Funded: breach before 1st payout,30.333333333333332
1 Quarter,funded_breach_after_payouts,Funded: breach after ≥1 payout,52.833333333333336
1 Quarter,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
1 Quarter,funded_survived_segment,Funded: survived funded segment (no trail hit),0.0
1 Quarter,empty_pool,Empty pool,0.0
6 Months,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
6 Months,eval_fail_trailing_drawdown,Audition: max trailing drawdown,17.166666666666668
6 Months,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
6 Months,eval_expire_unpassed,Audition: window ended (no pass),0.0
6 Months,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.0
6 Months,funded_breach_before_first_payout,Funded: breach before 1st payout,29.833333333333332
6 Months,funded_breach_after_payouts,Funded: breach after ≥1 payout,53.0
6 Months,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
6 Months,funded_survived_segment,Funded: survived funded segment (no trail hit),0.0
6 Months,empty_pool,Empty pool,0.0
12 Months,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
12 Months,eval_fail_trailing_drawdown,Audition: max trailing drawdown,19.333333333333332
12 Months,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
12 Months,eval_expire_unpassed,Audition: window ended (no pass),0.0
12 Months,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.0
12 Months,funded_breach_before_first_payout,Funded: breach before 1st payout,26.833333333333332
12 Months,funded_breach_after_payouts,Funded: breach after ≥1 payout,53.833333333333336
12 Months,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
12 Months,funded_survived_segment,Funded: survived funded segment (no trail hit),0.0
12 Months,empty_pool,Empty pool,0.0
18 Months,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
18 Months,eval_fail_trailing_drawdown,Audition: max trailing drawdown,19.5
18 Months,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
18 Months,eval_expire_unpassed,Audition: window ended (no pass),0.0
18 Months,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.0
18 Months,funded_breach_before_first_payout,Funded: breach before 1st payout,30.166666666666668
18 Months,funded_breach_after_payouts,Funded: breach after ≥1 payout,50.333333333333336
18 Months,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
18 Months,funded_survived_segment,Funded: survived funded segment (no trail hit),0.0
18 Months,empty_pool,Empty pool,0.0
24 Months,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
24 Months,eval_fail_trailing_drawdown,Audition: max trailing drawdown,18.166666666666668
24 Months,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
24 Months,eval_expire_unpassed,Audition: window ended (no pass),0.0
24 Months,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.0
24 Months,funded_breach_before_first_payout,Funded: breach before 1st payout,30.5
24 Months,funded_breach_after_payouts,Funded: breach after ≥1 payout,51.333333333333336
24 Months,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
24 Months,funded_survived_segment,Funded: survived funded segment (no trail hit),0.0
24 Months,empty_pool,Empty pool,0.0
