horizon_label,bucket_key,bucket_label,pct_of_simulations
1 Week,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
1 Week,eval_fail_trailing_drawdown,Audition: max trailing drawdown,0.0
1 Week,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
1 Week,eval_expire_unpassed,Audition: window ended (no pass),83.83333333333333
1 Week,pass_no_funded_days,"Passed eval, no funded days left in horizon",6.666666666666667
1 Week,funded_breach_before_first_payout,Funded: breach before 1st payout,0.3333333333333333
1 Week,funded_breach_after_payouts,Funded: breach after ≥1 payout,0.0
1 Week,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
1 Week,funded_survived_segment,Funded: survived funded segment (no trail hit),9.166666666666666
1 Week,empty_pool,Empty pool,0.0
1 Month,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
1 Month,eval_fail_trailing_drawdown,Audition: max trailing drawdown,0.16666666666666666
1 Month,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
1 Month,eval_expire_unpassed,Audition: window ended (no pass),1.1666666666666667
1 Month,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.5
1 Month,funded_breach_before_first_payout,Funded: breach before 1st payout,0.3333333333333333
1 Month,funded_breach_after_payouts,Funded: breach after ≥1 payout,29.0
1 Month,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
1 Month,funded_survived_segment,Funded: survived funded segment (no trail hit),68.83333333333333
1 Month,empty_pool,Empty pool,0.0
1 Quarter,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
1 Quarter,eval_fail_trailing_drawdown,Audition: max trailing drawdown,0.0
1 Quarter,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
1 Quarter,eval_expire_unpassed,Audition: window ended (no pass),0.0
1 Quarter,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.0
1 Quarter,funded_breach_before_first_payout,Funded: breach before 1st payout,0.0
1 Quarter,funded_breach_after_payouts,Funded: breach after ≥1 payout,100.0
1 Quarter,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
1 Quarter,funded_survived_segment,Funded: survived funded segment (no trail hit),0.0
1 Quarter,empty_pool,Empty pool,0.0
6 Months,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
6 Months,eval_fail_trailing_drawdown,Audition: max trailing drawdown,0.0
6 Months,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
6 Months,eval_expire_unpassed,Audition: window ended (no pass),0.0
6 Months,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.0
6 Months,funded_breach_before_first_payout,Funded: breach before 1st payout,0.0
6 Months,funded_breach_after_payouts,Funded: breach after ≥1 payout,100.0
6 Months,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
6 Months,funded_survived_segment,Funded: survived funded segment (no trail hit),0.0
6 Months,empty_pool,Empty pool,0.0
12 Months,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
12 Months,eval_fail_trailing_drawdown,Audition: max trailing drawdown,0.0
12 Months,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
12 Months,eval_expire_unpassed,Audition: window ended (no pass),0.0
12 Months,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.0
12 Months,funded_breach_before_first_payout,Funded: breach before 1st payout,0.0
12 Months,funded_breach_after_payouts,Funded: breach after ≥1 payout,100.0
12 Months,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
12 Months,funded_survived_segment,Funded: survived funded segment (no trail hit),0.0
12 Months,empty_pool,Empty pool,0.0
18 Months,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
18 Months,eval_fail_trailing_drawdown,Audition: max trailing drawdown,0.0
18 Months,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
18 Months,eval_expire_unpassed,Audition: window ended (no pass),0.0
18 Months,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.0
18 Months,funded_breach_before_first_payout,Funded: breach before 1st payout,0.0
18 Months,funded_breach_after_payouts,Funded: breach after ≥1 payout,100.0
18 Months,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
18 Months,funded_survived_segment,Funded: survived funded segment (no trail hit),0.0
18 Months,empty_pool,Empty pool,0.0
24 Months,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
24 Months,eval_fail_trailing_drawdown,Audition: max trailing drawdown,0.0
24 Months,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
24 Months,eval_expire_unpassed,Audition: window ended (no pass),0.0
24 Months,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.0
24 Months,funded_breach_before_first_payout,Funded: breach before 1st payout,0.0
24 Months,funded_breach_after_payouts,Funded: breach after ≥1 payout,100.0
24 Months,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
24 Months,funded_survived_segment,Funded: survived funded segment (no trail hit),0.0
24 Months,empty_pool,Empty pool,0.0
